Horodateur,Communities you identify with,How often do you use Refine,If other please specify,What domain of data do you deal with?,If other please specify,High-level tasks you do with Refine,If other please specify,How large are the data sets you often deal with when creating your project,What formats of data you deal with when EXPORTING your data from Refine,If other please specify,What formats of data you deal with when IMPORTING data into Refine,If other please specify,If other please specify,What other tools you use on the data BEFORE you use Refine,If other please specify,What other tools you use on the data AFTER you use Refine,If other please specify,How will you rate the skills level needed to use Google Refine,How will you rate your skills using Google Refine,Will you be interested in helping grow the Refine community?,How can you help,If other please specify,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,Do you use the executable version of Refine or do you build and run against the development version ?,How do you describe Refine to someone else?,"Fill in the blank: ""It'd be awesome if Refine ...""","If yes, can you describe how you use Refine as collaboration tool",How are your programming (coding) skills?,Anything else to add?,Which version of Refine are you currently using?,For how long have you been using refine,Do you ever collaborate with other people on the same Refine project?,"If yes, can you describe how you use Refine as collaboration tool","If you you build and run against the development version, did you include custom code ? ","If yes, what kind of custom code?",Do you use extension along Google Refine?,"If yes, what kind of custom code?",If other please specify
05/10/2012 10:37:23,"Open data enthusiasts, Research Purpose",Once or twice a week,,"Business, Scientific, Other",Data extracted from text,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Other","RDF (Turtle, XML/RDF)","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet",,"Scripting, Load into database",,3,4,Count me in!,"Development, Documentation (wiki, tutorials ...)",,"Simple to use and install, fast, lean (not bulky), open source, free","Scripting, Excel",Against the development version,Powerful yet simple super-tool for cleansing and linking data,... would support authentication,,5,Thank you for Google Refine :),"Development, from svn",6 to 12 months,no,,no,,"RDF extension, LOD2",,
05/10/2012 10:56:01,Data journalists,Everyday,,"Business, Scientific",,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,A few hundred rows,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Spreadsheet, Visualization, e.g., Fusion Table, Tableau",,3,1,Maybe,"Documentation (wiki, tutorials ...)",,,,Executable version (I've downloaded Refine and use it as is),,,,2,,02/05/2012,Less than 6 months,no,,,,No extension,,
05/10/2012 11:29:23,Other,Everyday,Clean data for business reasons,Business,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Spreadsheet,,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,3,4,Maybe,User support (FAQ),,"- Ability to manipulate thousands of lines fast and effectively
- MACRO MODE (Undo/redo) works perfect as macro tool. IT saves me hours of creating the same 70-80 steps everyday
- Undo/Redo feature with description of the action performed (it's fantastic to remember what i did in the project)
- Import/Export abilities are awesome","none, my mac crashes with Excel and OpenOffice when working with such huge files. I would be in trouble",Executable version (I've downloaded Refine and use it as is),- Excel/OpenOffice in steroids when it comes to manipulate/clean data,"1. would have better documentation for power users (but not so strong in programming) as learning GREL is not easy

2. could allow to Undo not only last step but middle ones without the need of copy&pasting steps to achieve same behavior

3. would keep improving and not get forgotten as it's the best tool i found in many many months for delivering at work",,3,,02/05/2012,Less than 6 months,no,,,,No extension,,
05/10/2012 12:24:16,Government data enthusiasts,A few times a month,,Business,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"1,000,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet, Export from a database",,"Spreadsheet, Load into database",,2,1,Maybe,User support (FAQ),,I't would be a pitty if it lost support...,I'll have to search,Executable version (I've downloaded Refine and use it as is),It's a tool to transform loosely structured data into something more manageable,reaches the upper level in management where Excel reigns,,5,,2,More than 2 years,no,,,,No extension,,
05/10/2012 13:20:25,Open data enthusiasts,A few times a month,,Survey,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"A few hundred rows, 1,000s of rows, 10,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Other",Scraping websites,,"Scripting, Spreadsheet, Export from a database, ETL tools like Kettle, Pentaho, ...",,"Scripting, Load into database, Visualization, e.g., Fusion Table, Tableau",,1,4,Maybe,,,"Convenient operations for whole column, with GUI and instant view of results",,Executable version (I've downloaded Refine and use it as is),,supported lookup to other refine tables / database,,6,,02/05/2012,1 to 2 years,no,,,,RDF extension,,
05/10/2012 14:27:21,"Data journalists, Open data enthusiasts, Government data enthusiasts, Research Purpose",Once or twice a week,,"Business, Survey, Other",Data from social networks,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,A few hundred rows,XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Spreadsheet, Other",yahoo pipes,"Spreadsheet, Visualization, e.g., Fusion Table, Tableau",,3,3,Maybe,"Documentation (wiki, tutorials ...)",,,,Executable version (I've downloaded Refine and use it as is),,,,2,,02/05/2012,1 to 2 years,no,,,,No extension,,
05/10/2012 14:38:51,Open data enthusiasts,A few times a month,,Scientific,,"Understanding data you don't own, Preparing data to load into some database, e.g., Freebase",,"1,000s of rows, 10,000s of rows",,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet",,"Scripting, Visualization, e.g., Fusion Table, Tableau",,2,4,Count me in!,"Development, Documentation (wiki, tutorials ...), User support (FAQ)",,The data is not sent outside of my machine.,Excel spreadsheets.,Against the development version,Excel on steroids,Data Visualization,,3,,"Development, from svn",More than 2 years,no,,no,,,,
05/10/2012 14:46:12,"Open data enthusiasts, Research Purpose",A few times a month,,Scientific,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"100,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet",,"Scripting, Load into database",,2,3,Not Interested,,,power,R,Executable version (I've downloaded Refine and use it as is),better excel,continued to be developed,,3,,02/05/2012,6 to 12 months,no,,,,No extension,,
05/10/2012 15:35:39,"Government data enthusiasts, Cultural Heritage Data Enthusiast",A few times a month,,"Business, Survey",,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Other",RDF,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Scripting,,"Load into database, Visualization, e.g., Fusion Table, Tableau",,3,4,Count me in!,"Documentation (wiki, tutorials ...), Other","evangelizing, training","clustering, reconciliation",ETL,Executable version (I've downloaded Refine and use it as is),swiss army knife for working with data,also could offer some visualizations of the data,,4,,02/05/2012,More than 2 years,no,,no,,RDF extension,,
05/10/2012 17:02:31,Other,A few times a month,Librarian,Other,education,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Other",Counting using the facets,"10,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database",,4,4,Maybe,User support (FAQ),,data cleanup. best tool I've found.,scripting,Executable version (I've downloaded Refine and use it as is),powerful,,,6,I really value and appreciate the work that went into creating Google Refine. Thank you.,02/05/2012,1 to 2 years,yes,The GR export project feature is really helpful,,,No extension,,
05/10/2012 17:40:26,Research Purpose,A few times a month,,"Business, Survey",,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",,"100,000s of rows, 1,000,000s of rows",XLS/CSV/TSV/Tabular in nature,,Other,HTML,,Spreadsheet,,Load into database,,3,2,,,,,,Executable version (I've downloaded Refine and use it as is),,,,2,,02/05/2012,1 to 2 years,,,,,No extension,,
05/10/2012 18:44:55,"Research Purpose, Other",Once or twice a week,private data processing,"Business, Survey, Scientific, Programming",,"Data transformation (one format to another), Understanding data you don't own, Reconciliation against other data set",,"10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Other",PDF,,Scripting,,"Scripting, Visualization, e.g., Fusion Table, Tableau",,2,4,Not Interested,,,"- easy user friendly filters/facets
- easy working with regexps (searching,text replacing...)","excel,scripting",Executable version (I've downloaded Refine and use it as is),data processing tool,have more visualisation options - more graphs and live statistics of displayed data,,7,,02/05/2012,6 to 12 months,no,,,,,,
05/10/2012 19:37:33,"Data journalists, Open data enthusiasts, Research Purpose, Other",Once or twice a week,,Survey,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Taxonomy/Metadata",,"100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,4,Maybe,"Documentation (wiki, tutorials ...)",,"Free, works in Linux",,Executable version (I've downloaded Refine and use it as is),,"Import/export to SQLite, MySQL...
Insert new records in an easy manner",,2,,02/05/2012,1 to 2 years,no,,,,No extension,,
05/10/2012 19:52:46,Research Purpose,First Time User,,"Survey, Other",Governmental licensing data.,Reconciliation against other data set,,"1,000s of rows, 10,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet",,4,2,Maybe,,,Easy getting started - I started using refine when I had no programming skills.,A python deduplication library.,Executable version (I've downloaded Refine and use it as is),Like a version of Excel that lets you pinpoint items that are similar.,Made it easy to compare addresses out of the box.,,4,,02/05/2012,1 to 2 years,no,,,,No extension,,
05/10/2012 19:59:22,Cultural Heritage Data Enthusiast,A few times a month,,Other,"Archival metadata, generally.","Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"A few hundred rows, 1,000s of rows, 10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Export from a database",,"Scripting, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,3,,,,,,Executable version (I've downloaded Refine and use it as is),,,,2,,02/05/2012,More than 2 years,yes,,,,RDF extension,,
05/10/2012 21:57:19,Data journalists,A few times a month,,"Business, Survey, Scientific, Programming",,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Scripting,,"Scripting, Load into database",,1,4,Maybe,"Development, Documentation (wiki, tutorials ...)",,"Clustering, mass editing, scripting support, and reconciliation",,Executable version (I've downloaded Refine and use it as is),,,,5,,02/05/2012,More than 2 years,no,,,,No extension,,
05/10/2012 21:57:32,"Data journalists, Open data enthusiasts, Government data enthusiasts",A few times a month,,"Business, Other",Government,"Normalizing data (e.g., fixing spelling mistakes)",,"100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,3,3,Maybe,Development,,,,Executable version (I've downloaded Refine and use it as is),,,,5,,02/05/2012,1 to 2 years,no,,,,No extension,,
05/10/2012 21:58:52,Data journalists,A few times a month,,"Business, Programming, Other",Government data. Lots of government data. Like political donations. ,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,3,4,Count me in!,"Documentation (wiki, tutorials ...), User support (FAQ)",,Browser interface and ease of text facets for data matching and cleaning.,,Executable version (I've downloaded Refine and use it as is),A great program for cleaning and formatting your data.,"Was faster, or didn't cause chrome to throw up kill window dialogues while it's working.",,4,,02/05/2012,More than 2 years,no,,no,THere are memory problems when I run Refine. I just went into the settings and upped the available memory.,No extension,,
05/10/2012 22:17:01,"Data journalists, Research Purpose",A few times a month,Investigative reporting,Other,"Public records, results of scraping.","Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",Clustering text fields,"10,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,"On the size: I would like to use it on larger datasets, but it doesn't work well for what I need on those.",,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,1,Count me in!,User support (FAQ),,"Clustering included in an easy step, ability to backtrack","Data Wrangler, spreadsheet, scripting",Executable version (I've downloaded Refine and use it as is),A way to make the cleaning process easier,,,3,,02/05/2012,1 to 2 years,no,,,,No extension,,
05/10/2012 22:39:04,Data journalists,A few times a month,,"Business, Survey, Other","Census, public payroll","Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"1,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Scripting, Visualization, e.g., Fusion Table, Tableau",,2,3,Not Interested,,,,,Executable version (I've downloaded Refine and use it as is),,,,1,,02/05/2012,1 to 2 years,no,,,,No extension,,
05/10/2012 22:43:47,"Data journalists, Open data enthusiasts, Government data enthusiasts, Research Purpose",A few times a month,,"Survey, Scientific, Programming",,"Data transformation (one format to another), Preparing data to load into some database, e.g., Freebase",,"1,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,,,"Scripting, Visualization, e.g., Fusion Table, Tableau",,3,2,,,,,,Executable version (I've downloaded Refine and use it as is),,,,5,,02/05/2012,1 to 2 years,no,,no,,No extension,,
05/10/2012 22:47:46,Data journalists,First Time User,,Business,,"Normalizing data (e.g., fixing spelling mistakes)",,A few hundred rows,XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,Spreadsheet,,"Visualization, e.g., Fusion Table, Tableau",,4,1,,,,,,Executable version (I've downloaded Refine and use it as is),,,,1,,2,Less than 6 months,no,,,,No extension,,
05/10/2012 22:59:24,Data journalists,A few times a month,,Other,Government data,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes)",,"1,000s of rows, 10,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet",,Spreadsheet,,3,2,Not Interested,,,"Free, easy to use",,Executable version (I've downloaded Refine and use it as is),A tool that helps me clean up messy government data for visualization.,had better documentation for GREL.,,2,,02/05/2012,1 to 2 years,no,,,,No extension,,
06/10/2012 00:03:07,Data journalists,First Time User,,"Business, Survey, Scientific, Programming",,,,,,,,,,,,,,1,1,Maybe,,,,,,,,,1,,,Less than 6 months,,,,,,,
06/10/2012 04:20:48,Other,I've heard about but never used it (yet),NON PROFIT - GREEN ENERGY,"Business, Survey","GREEN ENERGY WIND, SOLAR, RENEWABLE SURVEYS","Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"100,000s of rows, 1,000,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Spreadsheet,,"Spreadsheet, Load into database",,1,1,Count me in!,"Development, Documentation (wiki, tutorials ...), User support (FAQ)",,,,Executable version (I've downloaded Refine and use it as is),,,,1,,02/05/2012,Less than 6 months,no,,no,,No extension,,
06/10/2012 13:54:22,Research Purpose,First Time User,,"Business, Programming",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"1,000,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,1,Not Interested,,,simple,ssis,Executable version (I've downloaded Refine and use it as is),"etl for small data sets proof of concept, quick",integrated with R,,3,,02/05/2012,Less than 6 months,no,,no,,No extension,,
