Horodateur,Communities you identify with,How often do you use OpenRefine,If other please specify,What domain of data do you deal with?,If other please specify,High-level tasks you do with OpenRefine,If other please specify,What is the average size of your dataset when creating your project,What formats of data you deal with when EXPORTING your data from Refine,If other please specify,What formats of data you deal with when IMPORTING data into Refine,If other please specify,If other please specify,What other tools you use on the data BEFORE you use Refine,If other please specify,What other tools you use on the data AFTER you use Refine,If other please specify,How will you rate the skills level needed to use Google Refine,How will you rate your skills using OpenRefine,Will you be interested in helping grow the Refine community?,How can you help,If other please specify,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,Do you use the executable version of Refine or do you build and run against the development version ?,How do you describe Refine to someone else?,"Fill in the blank: ""It'd be awesome if Refine ...""","If yes, can you describe how you use Refine as collaboration tool",How are your programming (coding) skills?,Anything else to add?,Which version of OpenRefine are you currently using?,For how long have you been using OpenRefine,Do you ever collaborate with other people on the same Refine project?,"If yes, can you describe how you use Refine as collaboration tool","If you you build and run against the development version, did you include custom code ? ","If yes, what kind of custom code?",Do you use extension along Google Refine?,"If yes, what kind of custom code?",If other please specify,Which channel do you use when you need support?,How would you rate the quality of support from those channel [OpenRefine mailing list],"How would you rate the quality of support from those channel [Other online community (stackoverflow, discussion board ....)]",How would you rate the quality of support from those channel [I ask someone I know (friends or coworker)],How would you rate the quality of support from those channel [I attend formal training],How would you rate the quality of support from those channel [I learn by myself],How responsive each channel is when you seek support [OpenRefine mailing list],"How responsive each channel is when you seek support [Other online community (stackoverflow, discussion board ....)]",How responsive each channel is when you seek support [I ask someone I know (friends or coworker)],How responsive each channel is when you seek support [I attend formal training],How responsive each channel is when you seek support [I learn by myself],Do you use plugin or extension?,Which version of OpenRefine do you run?,What is your experience with bug fix and feature request [bug fix (ie OpenRefine is broken)],What is your experience with bug fix and feature request [feature request (ie add a new functionality / behaviour)],Can you provide more when you reported something or asked for support and things didn't move as whished?,Would you be interested in an hosted/cloud version of OpenRefine,Why?
18/07/2014 18:14:43,Librarians,Less than once a month,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata",,,,,,,,,,,,,2,,,,"It's one of the few data-fixing tools that works with text, not just numbers. I'm a librarian; most of the data and metadata we work with is text-based. It's also the only platform that (almost! mostly I can't get this working!) lets me demo dataset reconciliation against linked-datastores.",In the classroom? I'd have to throw my hands up and quit -- I can't possibly teach enough programming to my learners to do what OpenRefine does.,,"As a tool for assessing and cleaning up metadata, as well as getting it ready to add to the Semantic Web.",,,,"I don't know what error-reporting hooks OpenRefine offers plugin developers, but I wish they were better. The biggest problem I have troubleshooting plugins is that when something breaks, it breaks silently. How am I supposed to fix it if it won't tell me it's broken, much less why?",,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,No response to my question,Not using this channel,No response to my question,"DBpedia extension - by Zemanta, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",I don't know,I would like to report something but I don't know how,I would like to report something but I don't know how,"I get stuck with OpenRefine often, and because I use a fair few plugins I'm never sure where to get help. OpenRefine's often-obtuse UI, sketchy documentation, and nonexistent error reporting/logging does not help.",yes,"I am a librarian, but I work as an instructor in a library school (and also speak/train for external audiences). For a lot of my learners, the (really overcomplex and weird, I have to say) OpenRefine installation process is a HUGE barrier. Dumping that problem on the cloud would make it a lot easier for me to use OpenRefine in the classroom."
18/07/2014 18:19:26,Librarians,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Taxonomy/Metadata",,,,,,,,,,,,,2,,,,,,,,,,,,,Less than 6 months,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,,,,,,"DBpedia extension - by Zemanta, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",I don't know,,,,no,
18/07/2014 18:24:31,Cultural Heritage Data Enthusiast,Less than once a month,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,2,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,I got an answer and it is working,Not using this channel,I didn't get my answer / the answer was not helpful,Not using this channel,I found a solution before my request been answered,Immediate answer,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,"I liked the easy to use Google Refine version. Now that I have to load it locally and use the command line, it is harder for me"
18/07/2014 18:32:57,Librarians,Less than once a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,2,,,,"it's there, it's free, it works",Nothing else like it as far as I know,,It's a data clean-up tool,,,,,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,I got an answer and it is working,Not using this channel,I have to wait to get my answer,Immediate answer,Not using this channel,Immediate answer,"Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",I don't know,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,Already manage a lot of cloud/hosted apps. Our budget can't handle another subscription
18/07/2014 18:34:13,Librarians,Less than once a month,,,,Reconciliation against other data set,,,,,,,,,,,,,2,,,,"Flexibility, unique feature sets.",Nothing - I couldn't do the text analysis by myself.,,"Super powerful, free, and fun.",,,,"I'm not a programmer, but I'd love to help in whatever way I could.",,1 to 2 years,,,,,,,,,I got an answer and it is working,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I found a solution before my request been answered,"Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.","Even though I haven't actually asked questions, I do see the responses on the mailing list and I think they're amazingly helpful. And I have found answers in the archives & FAQ, which is nice. It is a bit of a learning curve (especially because I'm not using it like most people) but the community is great. ",yes,"My work computer does not play well with OpenRefine, so I'm often hitting the memory limit and having it crash. BUT - I guess it would depend on the cost - I'm a librarian using it for research, so I don't know how much I could ask for to cover costs. "
18/07/2014 18:37:03,Research Purpose,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,3,,,,the cluster command,R,,A good and quite simple tools fo data management,,,,,,6 to 12 months,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,"Centralization of the project and more power (RAM, CPU)"
18/07/2014 18:41:46,Librarians,Less than once a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata",,,,,,,,,,,,,4,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I found a solution before my request been answered,"Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,"Collaboration, backup, ease of access"
18/07/2014 19:02:31,For Profit / Business,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,5,,,,Faster analysis and cleaning with smaller datasets.,"For larger datasets, I have to push through an ETL and then sometimes load into Hadoop and run queries to create my faceted views of the data I need. Because OpenRefine's storage layer currently cannot handle large data sets with 500+ columns... it bogs down even with 16gb memory. I am anxiously awaiting the re-architecture proposal for the backend to hopefully resolve this to some degree. Of course, every tool has limits, but I would like OpenRefine to reach higher limits of rows / records, where possible.",,A data cleaning and analysis tool for small and medium size data.,,,,Thanks Martin for making this survey !,,More than 2 years,,,,,,,,,I got an answer and it is working,The answer was a lead and I needed to explore based on it,The answer was a lead and I needed to explore based on it,Not using this channel,Answer the question and went beyond expectation,I have to wait to get my answer,I have to wait to get my answer,Immediate answer,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,I build against the development version,I reported something and nothing happen,I reported something and nothing happen,Reconciling against Freebase,no,"My data marts are local and so a local flow is easiest with OpenRefine for me, rather than having to transport my data across a network / cloud."
18/07/2014 19:14:42,Nonprofit - massaging internal data,Less than once a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,2,,,,,,,,,,,,,6 to 12 months,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,OpenRefine 2.6,"I reported something, it is fixed and I am happy","I have nothing to report, I am happy how things are.",,no,
18/07/2014 19:20:24,Librarians,Everyday,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata",,,,,,,,,,,,,5,,,,"faceting, ability to reconcile with linked open data sets on a distributed workstation that doesn't allow much ",python scripting with various libraries/modules,,Excel but better,,,,,,1 to 2 years,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,I didn't get my answer / the answer was not helpful,Not using this channel,I got an answer and it is working,Not using this channel,I found a solution before my request been answered,Immediate answer,Not using this channel,I have to wait to get my answer,"Crowdsourcing extension - by Zemanta, DBpedia extension - by Zemanta, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI, Stats extension updated by sparkica for Refine 2.5 +",I build against the development version,"I have nothing to report, I am happy how things are.",I reported something and nothing happen,Asked via twitter for enhancing data version control in OpenRefine on different computers (beyond simply sharing the exported OpenRefine file). ,yes,Multiple parties working on data that needs OpenRefine - version control in this situation is a nightmare.
18/07/2014 20:25:47,non-profit consulting,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,"Flexibility, instant feedback, focus on the reality of messy data.",Excel :-(,,an interactive data exploration and clean-up tool,,,,,,1 to 2 years,,,,,,,,,Answer the question and went beyond expectation,I got an answer and it is working,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Immediate answer,I have to wait to get my answer,Not using this channel,Not using this channel,I found a solution before my request been answered,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,"At this point the datasets that I work with are comparatively small, so no need for a cloud approach. Part of the attraction is that it's an industrial-strength tool that is free."
18/07/2014 20:43:54,For Profit / Business,Less than once a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,I like client based tools for data confidentiality. This would be a hurdle to adopting a cloud based version though (I know my earlier response contradicts me here. I contain multitudes.),SPSS Modeler.,,Opensource data munging tool,,,,,,More than 2 years,,,,,,,,,I got an answer and it is working,I didn't get my answer / the answer was not helpful,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,I found a solution before my request been answered,I found a solution before my request been answered,Not using this channel,Not using this channel,I found a solution before my request been answered,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,Would eliminate the need to fiddle with the custom java we run here (No oracle allowed)
18/07/2014 20:54:15,For Profit / Business,A few times a month,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,2,,,,"Oh my God..., where do I begin? Exploring, Clustering, Transforming, Analysis, all a few clicks and keystrokes away.","Google Sheets, however, OpenRefine and other spreadsheet programs are in different categories. ",,"An amazing tool to explore and scrub data, with the simplicity of a spreadsheet interface. ",,,,,,6 to 12 months,,,,,,,,,I didn't get my answer / the answer was not helpful,Not using this channel,Answer the question and went beyond expectation,Answer the question and went beyond expectation,The answer was a lead and I needed to explore based on it,I found a solution before my request been answered,,,,,VIB-BITS for Vlookup,Google Refine 2.5,I would like to report something but I don't know how,I would like to report something but I don't know how,,yes,"I would love to do some OpenRefine work from my Chromebook. And furthermore, the memory limitations of my computer may be mitigated by using computing resources delivered over a network."
18/07/2014 21:23:11,Librarians,Everyday,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,3,,,,"Speed of transformation, visualization of issues/faceting, simplicity of scripting w/ jython versus other languages in other programs.","Excel, typically.",,A data clean-up and transformation tool that acts most easily on data 'types' rather than data 'records'.,,,,,,6 to 12 months,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Immediate answer,RDF extension - by DERI,Google Refine 2.5,I would like to report something but I don't know how,I would like to report something but I don't know how,,no,"Not currently necessary, but may be nice to make use of more powerful computing via cloud."
18/07/2014 21:39:33,Semantic Web,Once or twice a week,,,,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,4,,,,,,,,,,,,,More than 2 years,,,,,,,,,,,,,,,,,,,RDF extension - by DERI,OpenRefine 2.6,,"I reported something, it is fixed and I am happy",,yes,
18/07/2014 21:47:19,Librarians,Once or twice a week,,,,"Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,,,,,,,,,,,,3,,,,"Easy to use, lots of functionality especially with plugins","I suppose I would have to write all kind of scripts to transform things. For cleaning up data, I would probably use Excel, but it would take forever.",,"I describe it as a tool to clean-up/normalize data, reconcile data, and a tool that can help you export RDF.",,,,,,1 to 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,I didn't get my answer / the answer was not helpful,Not using this channel,I found a solution before my request been answered,Immediate answer,Not using this channel,I found a solution before my request been answered,RDF extension - by DERI,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,I would be concerned about speed and data security and preservation
18/07/2014 21:59:33,Data journalists,Less than once a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,1,,,,,,,,,,,,,Less than a month,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Immediate answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,
18/07/2014 22:02:12,Librarians,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,3,,,,"Faceting, transform power, export and import formats.","Excel, Ruby",,"Helps you easily clean up, transform, and visualize your data/metadata.",,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,RDF extension - by DERI,OpenRefine 2.6,I would like to report something but I don't know how,"I have nothing to report, I am happy how things are.",,yes,
18/07/2014 22:29:29,Librarians,Less than once a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,3,,,,It is the only tool that does what I need to do in a reasonably easy manner,Something really painful and slow with lots of regex involved. I don't even know.,,It's a tool for cleaning up really messy metadata,,,,,,More than 2 years,,,,,,,,,The answer was a lead and I needed to explore based on it,I got an answer and it is working,The answer was a lead and I needed to explore based on it,Not using this channel,I got an answer and it is working,I have to wait to get my answer,Not using this channel,I have to wait to get my answer,Not using this channel,I have to wait to get my answer,Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata),Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,,
18/07/2014 23:31:19,Semantic Web,Less than once a month,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Taxonomy/Metadata, hope I can script/stream it",,,,,,,,,,,,,1,,,,"Just looking now, I'll see, but LODRefine is looking tempting.",hand-made w/some open-src libs,,~ETL tool,,,,"I've seen the python client, and would live to get a Lisp one going.",,I've heard about but never used it (yet),,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I found a solution before my request been answered,"DBpedia extension - by Zemanta, RDF extension - by DERI, LODRefine",Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,I want more control over the software much less the data.
19/07/2014 01:21:38,Data journalists,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,,,,,,,,,,Less than 6 months,,,,,,,,,Not using this channel,Answer the question and went beyond expectation,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,Not using this channel,Not using this channel,Not using this channel,,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,
