Timestamp,Communities you identify with,How often do you use OpenRefine,For how long have you been using OpenRefine,How would you rate your skills using OpenRefine,High-level tasks you do with OpenRefine,Which version of OpenRefine do you run?,Do you use plugin or extension?,"Which features available in an extension or plugin, do you want to see by default in OpenRefine?",Do you use a reconciliation service?,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,How do you describe Refine to someone else?,"Fill in the blank: ""It would be awesome if OpenRefine ...""",Anything else to add?
1/23/2020 16:22:11,Cultural Heritage Data enthusiast,Less than once a month,6 to 12 months,2,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.1,,,,,,,,
1/23/2020 16:27:51,Open Government Data enthusiast,Everyday,More than 2 years,2,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.1,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Diff plugin- by VIB-BITS, Stats extension updated by sparkica for Refine 2.5 +, GeoRefine by Ryan Baumann, geoXtension by giTorto",User Login,"reconcile csv, FAST (Faceted Application of Subject Terminology), Library of Congress Subject Headings, OpenCorporates, DBpedia, Ordnance Survey, Organized Crime and Corruption Reporting Project",,,Great Tool,have the option to server install and get access with username and password,
1/23/2020 16:54:27,Researcher,Everyday,I've heard about but never used it (yet),1,Understanding data you don't own,OpenRefine 3.1,I don't use plugin or extension,,OpenCorporates,,,,,
1/23/2020 17:45:39,Wikidata contributor,Less than once a month,Less than 6 months,1,"Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,I don't use plugin or extension,,Wikidata,,,cool yet confusing tool to wrangle with data in seemingly arbitrary formats,had better onboarding.,
1/23/2020 17:49:06,Wikidata contributor,A few times a month,1 to 2 years,3,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",Google Refine 2.0,I don't use plugin or extension,,Wikidata,mass data upload in a structured format,,,"ONLINE, and shareable, like google sheet so there could be collaborative team work for dataset. ",
1/23/2020 17:50:03,For Profit/Business/Consulting,Less than once a month,More than 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.1,RDF extension - by DERI,,Wikidata,Read json Files from open Data sources,No idea,Data cleansing tool ,"would support LDAP authentication, access privileges",Thanks to all supporters of open refine! 
1/23/2020 17:51:17,Cultural Heritage Data enthusiast,Once or twice a week,More than 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.1,,csv réconciliation,"reconcile csv, Wikidata, VIAF","Free ans open source , new features, wikidata",,Excel with hormons,can take in memory modelization models,The show must go on 
1/23/2020 17:56:38,Wikidata contributor,Less than once a month,More than 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",OpenRefine 3.2,I don't use plugin or extension,,Wikidata,Wikidata reconcilation,Mix and match,Clean up messy data,Would have a modern user interface,
1/23/2020 17:58:55,Wikidata contributor,Less than once a month,Less than a month,2,"Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.3RC1,,,Wikidata,reconciliation with wikidata based on label values,WDQS / SPARQL,sometimes useful,,
1/23/2020 18:00:46,Librarian,Less than once a month,6 to 12 months,2,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.1,Wikidata Extension,"Easy dropdown for x, y or z database to reconcile against.",Wikidata,Wikidata integration,NA,"A program that cleans, transforms, and reconciles your data.",Had better UI - there are too many dropdown options for new users,none
1/23/2020 18:07:44,Researcher,A few times a month,More than 2 years,3,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",I don't know,I don't use plugin or extension,,reconcile csv,"Treatment of big files, facets, text filter with regular expressions","Notepad++, OpenOffice Calc",A kind of powerful Excel to analyse data,would let me choose where I can store my files!,
1/23/2020 18:43:53,For Profit/Business/Consulting,A few times a month,Less than a month,2,"Data transformation (one format to another), Reconciliation against other data set",OpenRefine 3.2,,,custom built,reconciliation,"altreyx, knime, etc",more powerful excel,"adds more documentation on building extensions, enable extensions in python","easy white labelling, customization, etc"
1/23/2020 22:01:17,Librarian,Everyday,More than 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.1,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Diff plugin- by VIB-BITS",,,ease of filtering and looking at large data,excel,great tool to clean and explore data - sort of like excel on steroids for certain actions,Allowed me to set the default memory values without having to go into the backend,Thankyou so much for all the work you put into the program - it has made my like so much simpler
1/23/2020 22:54:35,Wikidata contributor,A few times a month,Less than 6 months,3,"Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,,,Wikidata,The tool helps to tabulate the data to be uploaded to wikidata. no other tool helps to do this,,I would suggest this tool to wikidata enthusiast to reconcile data.,,
1/24/2020 0:25:18,Data Scientist,Once or twice a week,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Diff plugin- by VIB-BITS",,,Facets,Talend,"Tool to explore, understand and clean messy data",would run fast and stable with large datasets,"The ""All"" columns management tab where you reorder, remove columns. Would be nice to have a dialog as e.g. in the custom tab exporter, where you can (de)select all columns with check boxes. But overall: great tool, great community, it makes my professional life so much easier!"
1/24/2020 1:47:34,,,,,,,,,,,,,,
1/24/2020 2:11:29,Museums Documentarian,A few times a month,More than 2 years,3,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,,,reconcile csv,Step by step history ,,,Had more accessible advanced features (usability),
1/24/2020 2:53:25,Librarian,A few times a month,More than 2 years,3,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,"Diff plugin- by VIB-BITS, String-Transformers by RBGKew",,,"open source, just works, does what i need",?,The easy way to clean your messy data,,
1/24/2020 2:59:13,Data Scientist,A few times a month,More than 2 years,2,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,I don't use plugin or extension,,,Facet clustering,,,,
1/24/2020 3:02:01,Museums Documentarian,A few times a month,More than 2 years,3,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,,,reconcile csv,Step by step history ,,,Had more accessible advanced features (usability),
1/24/2020 3:36:29,Open Government Data enthusiast,Less than once a month,More than 2 years,1,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,,,Wikidata,,,"Reconciliation is what i highlight, as well as the amount of data that can be handled locally, in memory. ",,
1/24/2020 4:27:59,Wikidata contributor,A few times a month,More than 2 years,2,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes)",OpenRefine 3.2,I don't use plugin or extension,,,"free, offline, open source",excel,Free open source tool for data cleanup and data analysis,wasn't slower [sometimes],I'm using also open refine for cleaning patent data. The information was first shared with from staff from WIPO - World Intellectual Property Organization https://wipo-analytics.github.io/open-refine.html
1/24/2020 4:35:53,Librarian,Less than once a month,1 to 2 years,2,"Normalizing data (e.g., fixing spelling mistakes), Taxonomy/Metadata, Understanding data I do own",I don't know,,,,ability to process large amounts of data,Excel,,,
1/24/2020 5:57:34,Cultural Heritage Data enthusiast,A few times a month,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.2,I don't use plugin or extension,,Wikidata,"Reconciliation with Wikidata, editing Wikidata, powerful data wrangling","Spreadsheet application, text editor and QuickStatements","Spreadsheets on steroids, can also link with Wikidata and edit it","Would support editing and uploading to Structured Data on Commons, and external Wikibases",
1/24/2020 7:00:19,Wikidata contributor,Less than once a month,1 to 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.3RC1,I don't use plugin or extension,,Wikidata,Wikidata integration,"QuickStatements, Python scripts, Pywikibot",Tool to clean up and import data from CSV files (or some other formats) into Wikidata,"Had improved Wikidata integration, particularly more control over modifying existing statements including qualifiers and references",
1/24/2020 7:02:15,Wikidata contributor,A few times a month,Less than 6 months,1,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Using it to find problems in Wikidata like multiple items for the same concept/topic/person",OpenRefine 3.3RC1,"I don't use any since I didn't know they exist, but now I'm really intrigued to start!",,Wikidata,It's what was taught at Techstorm.,No clue.,a diamond in the rough,was available in the languages I use instead of having to go through English all the time.,
1/24/2020 8:16:05,Librarian,Once or twice a week,More than 2 years,5,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI, Client Libraries in (python, ruby, javascript, r or php)",RDF,"Wikidata, VIAF, https://lobid.org/gnd/api#openrefine","spreadsheet like appearance, facets, templating export","metafacture, catmandu",a mix of spreadsheet software and library catalogue,supports bigger data sets,
1/24/2020 9:32:00,Researcher,A few times a month,More than 2 years,3,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS",,Wikidata,Easy to use and ability to see what is happening and the ability to extract from web pages and use apis,Excel or Google sheets,Amazing tool for understanding and extending data,Could be used to process batches of data in a simpler way.,Love the people who provide fantastic support.
1/24/2020 9:38:34,Cultural Heritage Data enthusiast,Once or twice a week,More than 2 years,5,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.3RC1,I don't use plugin or extension,"geocoding, NER","Wikidata, Planning to use with Linked Data Finland's datasets","Combined workflow from reading to exporting, powerful wrangling, large user-base, good prospects for further development","Wikidata Tools for Google Docs, GLAMpipe (QuickStatements)",Data wrangling tool that can import and update to Wikidata,could update my Wikibase,Happy to be of help!
1/24/2020 9:41:40,Librarian,A few times a month,More than 2 years,5,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,I don't use plugin or extension,,"codeforkjeff conciliator, VIAF","Faceting, transformations",Excel,"Excel on steroids, power tool for wrangling with and cleaning data","Was available as a web service, had more visualization capabilities",Installation is one of the most troublesome points with OpenRefine. I teach OpenRefine to librarians and they often have older Windows laptops or IT departments that won't allow them to install OpenRefine. Have a web service that was free to start would be great. RefinePro was always my backup plan teaching.
1/24/2020 10:40:09,Librarian,Once or twice a week,More than 2 years,3,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,I don't use plugin or extension,,Library of Congress Subject Headings,,,,,
1/24/2020 11:21:43,Data Scientist,A few times a month,1 to 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.2,I don't use plugin or extension,,,"Simple interface, ability to export processing for reproducibility, quick reference/cookbook available.","R or Python, but would have taken longer to figure out same steps.",Data wrangler tool,"had a pane with simple descriptive stats (e.g. # observations of # variables, # nulls per column",
1/24/2020 11:43:28,Librarian,Everyday,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,,,,"Ease of use; ability to extract/apply operation history; ability to see changes on the fly, multiple faceting options; ability to import & combine multiple spreadsheets; ability to use record functions to restructure data; ability to call external resources with APIs.","Python or R, but as a non-programmer I am much more comfortable and capable with OR's mix of menu commands and GREL than I am in programming languages.","Awesome :). I just use the tag line ""a power tool for messy data"" and then describe faceting, blank down/fill down, and the ability to combine multiple spreadsheets during import.",handled records better and if it was easier to jump to specific rows.,
1/24/2020 12:01:58,Librarian,Less than once a month,1 to 2 years,3,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",I don't know,I don't use plugin or extension,,"Wikidata, VIAF, Library of Congress Subject Headings",free & easy to use,grep or manually through a spreadsheet (find/replace),,,
1/24/2020 12:30:07,Librarian,A few times a month,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.1,"Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",,VIAF,It's interface and useability,,It is a great tool for cleaning up and making sense of data.,,
1/24/2020 14:05:17,biodiversity informatics professional,Once or twice a week,More than 2 years,3,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,I don't use plugin or extension,,,so easy to get started and simultaneously so powerful; as user skills progress they're matched by OpenRefine capabilities,R,like cross between a safer (for the data) Excel and a less intimidating (to new users) R ,,thank you to everyone who develops and supports OpenRefine!!!!
1/24/2020 18:02:58,Librarian,A few times a month,More than 2 years,2,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.2,I don't use plugin or extension,,,"Good UI, easy to use for simple tasks yet capable of more powerful, complex ones","Excel, Google sheets",Tool for cleaning up spreadsheet data,were used more widely,
1/24/2020 18:06:25,Librarian,A few times a month,More than 2 years,3,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,I don't use plugin or extension,,"Wikidata, Library of Congress Subject Headings",Open source and user friendly,Excel,"Open source, easy to learn, more features than Excel",Had clearer reconciliation instructions,
1/24/2020 18:34:33,Librarian,A few times a month,More than 2 years,4,"Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 2.7,I don't use plugin or extension,,,The ease of clustering and cleaning large messy datasets.,Excel,As an easy tool for cleaning data for someone who wants something more powerful than Excel but less complicated than learning a programming language,Had more documentation and examples of how to use all the plugins/features,I learned about a bunch of new plugins and extensions filling out this survey. I would love to see more information about all of those on the OpenRefine site. I have been using this tool for years but I think there is a ton of things I can probably do that I am not even aware of.
1/24/2020 18:40:22,Librarian,Less than once a month,More than 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,I don't use plugin or extension,,,Easy interface ,Excel or R,Data wrangling made easy,Had UTF-8 as the default ,Some challenges of reproducibility with exported JSON code 
1/24/2020 19:51:23,Medical Informatics,A few times a month,Less than 6 months,2,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,"Client Libraries in (python, ruby, javascript, r or php)",Still learning and not sure how to answer this,,data cleaning,manual,Major time saver! Data cleaning and so much more (still learning what that means).,??????,
1/25/2020 7:31:03,Wikidata contributor,Less than once a month,1 to 2 years,3,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",,I don't use plugin or extension,,Wikidata,,,,,
1/25/2020 9:41:01,Data Scientist,Once or twice a week,More than 2 years,5,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, RDF extension - by DERI, Stats extension updated by sparkica for Refine 2.5 +, Client Libraries in (python, ruby, javascript, r or php)",Vib-bits,"reconcile csv, Wikidata","Clustering, reconciliation, exports",Python/R scripts,"Practically an ETL tool with powerful functionalities, but too little known.",Can close half of the open issues / requests in Github. ;),
1/25/2020 9:57:41,Librarian,Less than once a month,More than 2 years,1,Reconciliation against other data set,OpenRefine 3.2,I don't use plugin or extension,,reconcile csv,,,,would be easier to use,
1/25/2020 11:58:39,Data journalist,Once or twice a week,More than 2 years,5,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 2.9,I don't use plugin or extension,,"Wikidata, OpenCorporates, DBpedia","open source, easy to use.",google but it is limited,tool for clean/tidy your messy data,run perfectly. the version is not run well sometimes.,thank you. ı would like to translate openrefine into Turkish language. how can ı contact? this is mine: xxxxx
1/25/2020 12:53:39,Software Architect ,Once or twice a week,Less than a month,1,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Taxonomy/Metadata",OpenRefine 3.2,I don't use plugin or extension,,,,,,,
1/26/2020 14:31:08,Librarian,Once or twice a week,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.2,I don't use plugin or extension,,,Faceting and multiple cell editing for normalisation,Excel,Fucking amazing,was better known.,
1/27/2020 4:35:08,Researcher,Less than once a month,1 to 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,,,,Data normalisation and formatting,coded manually,,Was more well known ,
1/27/2020 6:28:12,Open Government Data enthusiast,Less than once a month,1 to 2 years,3,"Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.3RC1,I don't use plugin or extension,"Crowdsourcing would be great (the one mentionned here is unmaintained and undocumented, and probably not supported anymore)","reconcile csv, Wikidata",Reconciliation with matching score,Nothing (or maybe asking a Python-skilled person for help?),Excel on steroids,... would have reconcile-csv built-in. ... would have crowdsourcing / multi-user features.,Some people have't used it for a few years and are missing a lot on the new features and improvements! More communication / outreach outside of the usual circles (wikidata...) would go a long way to make OpenRefine a more popular tool.
1/27/2020 9:14:39,Librarian,Less than once a month,Less than 6 months,2,"Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",OpenRefine 3.3RC1,I don't use plugin or extension,,"reconcile csv, VIAF",,,,,
1/27/2020 9:32:18,Librarian,Once or twice a week,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,I don't use plugin or extension,,,"I like that it's an easy interface to use, sort of a hybrid between a point and click tool and a programming language. ",I'd probably try to use Excel for some things and level up my R skills for others.,User friendly combination of Excel and R--point and click interface with lots of menus and easy to view changes to your data but also able to make programmatic changes to your data and develop a script that you can save for repeat use or sharing. ,Didn't take up so much active memory when in use.,I love this tool and teach it to my students all the time. 
1/27/2020 10:13:17,Librarian,A few times a month,More than 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,GeoRefine by Ryan Baumann,,,"It's 100% reproducible -- as long as you have the JSON extract of your steps and the raw data, anyone with any version of OpenRefine can reproduce your steps without having to deal with installing a specific version of a specific library or tool, etc etc. It is by far the most reproducible way to clean/transform/process data.",Either a spreadsheet software or some programming language (probs R),A fully reproducible data processing software ,,
1/27/2020 11:33:37,Librarian,A few times a month,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.2,RDF extension - by DERI,Reconciliation/RDF,"reconcile csv, Wikidata, VIAF, FAST (Faceted Application of Subject Terminology), Library of Congress Subject Headings","Ease of use, regex support",Excel (boo),A data cleaning power tool,Had more money for development of the UI. I think begining users are a little intimidated.,Thank you so much for maintaining this tool!
1/27/2020 11:36:20,Technologist,Less than once a month,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.2,I don't use plugin or extension,,,History/scripts,Excel,Data munging tool,Was more popular,
