Timestamp,"Field, discipline, community you identify with 
Choose the categories which best represent you",On a scale from 1 to 10 how often do you use OpenRefine in a professional environment?,In which languages do you use OpenRefine (both its interface and the datasets you work with)?,How long have you been using OpenRefine?,How would you rate your skills using OpenRefine,How likely is it that you would recommend OpenRefine to a friend or colleague?,usage_frequency,"How frequently do you perform the following actions in OpenRefine? [Using facets for data exploration, analyzing, and making better sense of datasets]","How frequently do you perform the following actions in OpenRefine? [Normalization, cleaning, and transformation from the menu only]","How frequently do you perform the following actions in OpenRefine? [Normalization, cleaning, and transformation using GREL]",How frequently do you perform the following actions in OpenRefine? [Reconcile using reconciliation services],How frequently do you perform the following actions in OpenRefine? [Extend data using reconciliation services],How frequently do you perform the following actions in OpenRefine? [Using REST APIs (ie Fetch URLs)],How frequently do you perform the following actions in OpenRefine? [Saving operation history to create repeatable workflows],How frequently do you perform the following actions in OpenRefine? [Preparing data for visualization (outside OpenRefine)],How frequently do you perform the following actions in OpenRefine? [Preparing a file before loading it to another system (data migration)],"How frequently do you perform the following actions in OpenRefine? [Publishing data directly from OpenRefine to Wikibase, Wikidata, or WikiCommons]","How frequently do you perform the following actions in OpenRefine? [Working on taxonomies, thesauri, vocabularies]",Which features make you choose OpenRefine over other tools? Which alternative tools would you use if OpenRefine was not available to you?,Which version(s) of OpenRefine do you run? Mark all that apply.,Who installed OpenRefine on your computer?,Which Operating System are you using?,Which browsers do you use with OpenRefine?,What is the current amount of RAM you have allocated to OpenRefine? (see increasing memory allocation). Use the Other option to indicate the how much RAM you have allocated to OpenRefine,Which reconciliation services do you use?,Which OpenRefine extensions do you use?,Which OpenRefine unsupported client libraries do you use?,Anything else you would like to add?
8/9/2024 12:11:40,Data science|Semantic Web|For-profit sector / Business / Consulting,8,"English, French",More than 5 years,4,10,2. Once per week,Once per week,Once per week,Once per month,Once per month,Once per month,Rarely,Once per week,Never,Once per week,Never,Once per week,"its reconcilation devices, facets, GREL features, cleansing features",,Myself,Mac,Chrome,20000 M,Getty Vocabularies (TGN ULAN AAT)|Wikidata (hosted at wikidata.reconci.link)|Geonames,VIB-Bits,I did not know that there are client libraries for OpenRefine,
8/9/2024 14:49:35,Libraries,7,English,More than 5 years,3,10,3. Once per month,Once per month,Once per month,Once per month,Rarely,Rarely,Rarely,Never,Rarely,Once per month,Never,Never,"Facets and cluster, clean data",OpenRefine 3.7,Myself,Windows,Chrome,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/9/2024 16:42:08,OpenStreetMap,0,French,I have never used OpenRefine,1,5,5. Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,push links with wikidata and OpenStreetMap like https://map.osm.wikidata.link/ doesnke,The latest version of OpenRefine 3.8,Myself,Windows,Chrome,I don’t know,I don’t know,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,"maybe some options to give bettter intuitive installation"
8/9/2024 17:47:19,Research and Academic|Wikimedia (Wikidata Wikimedia Commons…)|Wikibase,8,Dutch,2 to 5 years,3,5,3. Once per month,Once per month,Once per month,Rarely,Rarely,Rarely,Rarely,Never,Never,Once per month,Rarely,Never,I would use spreadsheet software,,I mainly run OpenRefine via (cloud) hosting (e.g. Wikimedia PAWS or another cloud- or server-based host),Windows,Edge,Default Setting,My organization’s / project’s own / in-house / custom reconciliation service|Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I did not know that there are client libraries for OpenRefine,"The values mostly sound like a code of conduct. I would expect values like prioritizing FAIR and commons-based and open data. 

There is a lot of emphasis on training and mentoring. Nice, but the reality is that OpenRefine is a complex piece of software for highly data literate (I.e. privileged) users. It’s not obvious to have the capacity to go through training, to be able to make time for it."
8/10/2024 8:27:16,Libraries|Wikimedia (Wikidata Wikimedia Commons…)|Education / training,1,English,2 to 5 years,1,5,5. Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,I cannot use OpenRefine because it requires installation and work IT policies do not permit. Is there a working cloud version? I don’t know a similar tool.,I don't know,I don’t know,Windows,Chrome|Firefox,I don’t know,Faceted Application of Subject Terminology (FAST)|WikiCite,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/10/2024 12:08:47,Libraries|Arts cultural sector cultural heritage|Wikimedia (Wikidata Wikimedia Commons…),10,English,More than 5 years,3,10,2. Once per week,Once per week,Once per week,Once per week,Once per month,Once per month,Never,Never,Once per month,Once per week,Once per month,Rarely,It’s a way for me to analyze data without needing coding skills. I appreciate how it is a helper tool. If I didn’t have it I’d probably use Excel.,,Myself,Mac,Firefox,Default Setting,Getty Vocabularies (TGN ULAN AAT)|Wikidata (hosted at wikidata.reconci.link),Wikidata extension,"I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries",
8/10/2024 12:14:35,Research and Academic|Digital humanities|OpenStreetMap,10,English,Less than 6 months,1,9,5. Never,Never,Once per week,Never,Once per day,Rarely,Never,Never,Never,Once per month,Once per week,Never,speed,The latest version of OpenRefine 3.8,Myself,Mac,Chrome,Default Setting,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,Wikimedia Commons,I did not know that there are client libraries for OpenRefine,
8/10/2024 18:43:29,Wikimedia (Wikidata Wikimedia Commons…),0,English,2 to 5 years,2,8,3. Once per month,Once per month,Once per month,Never,Once per month,Never,Never,Once per month,Never,Once per month,Once per month,Never,Otherwise would do more editing by hand,,Myself,Mac,Chrome,I don’t know,Wikidata (hosted at wikidata.reconci.link),I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/11/2024 16:18:14,Data journalism,5,English,2 to 5 years,2,8,3. Once per month,Once per month,Once per month,Rarely,Once per month,Rarely,Rarely,Never,Never,Once per month,Never,Never,Ease of use vs learning python or SQL,,Myself,Mac,Chrome,Default Setting,,I did not know that there are extensions for OpenRefine,"I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries",
8/12/2024 5:31:02,Libraries|Arts cultural sector cultural heritage,9,"English, Dutch",2 to 5 years,4,10,1. Once per day,Once per day,Once per week,Once per day,Once per day,Once per day,Once per day,Never,Rarely,Once per week,Never,Once per week,excel- but that would be more of a hassle,The latest version of OpenRefine 3.8,Myself,Windows,Chrome,I don’t know,Getty Vocabularies (TGN ULAN AAT)|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link)|termennetwerk (dutch cultural heritage network (NDE)),I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/12/2024 6:14:35,Wikimedia (Wikidata Wikimedia Commons…),8,Spanish,More than 5 years,4,7,3. Once per month,Once per month,Once per month,Never,Once per month,Once per month,Never,Never,Once per month,Once per month,Once per month,Never,,OpenRefine 3.7,Myself,Windows,Chrome|Edge|Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link),I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/12/2024 6:20:03,Semantic Web|Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap|Education / training,0,"English, German",Less than 6 months,3,7,2. Once per week,Once per week,Once per week,Once per month,Once per week,Once per week,Never,Never,Never,Once per month,Once per week,Rarely,,The latest version of OpenRefine 3.8,Myself,Linux,Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link),I did not know that there are extensions for OpenRefine,"I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries",
8/12/2024 6:22:01,Research and Academic|Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap,7,"English, Catalan",2 to 5 years,4,9,3. Once per month,Once per month,Rarely,Once per month,Once per week,Once per month,Never,Rarely,Never,Never,Once per week,Never,,OpenRefine 3.7,Myself,Mac,Chrome,Default Setting,Wikidata (hosted at wikidata.reconci.link),I don’t use any OpenRefine extensions,I did not know that there are client libraries for OpenRefine,
8/12/2024 6:27:46,Data journalism|Civic Tech|OpenStreetMap|Wikibase,0,"English, Turkish",1 to 2 years,4,8,1. Once per day,Once per day,Once per week,Never,Once per day,Once per day,Never,Once per day,Once per day,Once per day,Once per day,Once per day,I use it to enter bulk data into Wikidata.,,Myself,Mac,Chrome,Default Setting,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons",,
8/12/2024 8:01:26,Research and Academic,7,"English, German",1 to 2 years,4,8,2. Once per week,Once per week,Once per day,Rarely,Once per month,Once per week,Once per week,Once per month,Never,Once per week,Never,Once per week,"open-source and traceable, extendable",The latest version of OpenRefine 3.8,Myself,Linux,Firefox,5000 M,My organization’s / project’s own / in-house / custom reconciliation service|Bionomia ID|GBIF|Wikidata (hosted at wikidata.reconci.link),"Wikimedia Commons, OpenRefine Command Palette by Albin Larsson, SNAC extension , Named-Entity Recognition (NER) - by Ruben Verborgh and Stuart Kenny, String-Transformers by RBGKew, GeoRefine by Ryan Baumann, String-Transformers by RBGKew, BioVeL",I don’t use any OpenRefine client libraries,
8/12/2024 10:29:45,Wikimedia (Wikidata Wikimedia Commons…),0,English,More than 5 years,4,7,3. Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Never,Rarely,Rarely,Rarely,Once per month,Never,,I don't know,Myself,Windows,Chrome,I don’t know,Wikidata (hosted at wikidata.reconci.link),I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/12/2024 10:51:07,Libraries|Education / training,10,"English, French",More than 5 years,4,10,2. Once per week,Once per week,Once per week,Once per week,Never,Never,Once per week,Once per month,Rarely,Once per month,Never,Never,The many possibilities of facets and being able to use APIs. Alternative tools be R or python libraries.,,Myself,Windows,Chrome,20000 M,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I did not know that there are client libraries for OpenRefine,"OpenRefine is the best tool for my data needs. I am so that this tool exists and is still maintained."
8/12/2024 11:05:30,Data science|Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap|Wikibase|Other non-profit sector|Education / training,4,English,More than 5 years,5,9,2. Once per week,Once per week,Once per week,Once per week,Once per week,Once per week,Once per month,Once per month,Once per month,Once per week,Once per week,Never,For reconciliation with the Wikibase and getting information from Wikibase. Python scripts,The latest version of OpenRefine 3.8,Myself,Windows,Brave,Default Setting,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons, Diff plugin - by VIB-Bits",I don’t use any OpenRefine client libraries,
8/12/2024 11:06:55,Research and Academic|Arts cultural sector cultural heritage|Digital humanities|Semantic Web|Wikibase|Education / training,9,"English, Chinese, Spanish, Arabic, French, German, Japanese, Italian",More than 5 years,4,9,1. Once per day,Once per day,Once per day,Once per day,Once per day,Once per day,Once per week,Once per week,Rarely,Once per day,Once per week,Once per day,"If not available, I might use Excel or Notepad++ for some tasks.",,Myself,Windows,Chrome,I don’t know,Faceted Application of Subject Terminology (FAST)|Getty Vocabularies (TGN ULAN AAT)|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link),"Wikidata extension, Named-Entity Recognition (NER) - by Ruben Verborgh and Stuart Kenny",I don’t use any OpenRefine client libraries,
8/12/2024 11:43:19,Libraries,9,English,More than 5 years,3,10,1. Once per day,Once per day,Once per month,Once per day,Once per month,Never,Never,Never,Never,Once per week,Never,Once per day,"Text filter, Facets, Transform (via GREL or menu tools)",", OpenRefine 3.7, OpenRefine 3.6",Myself,Windows,Chrome|Firefox,2048 M,Getty Vocabularies (TGN ULAN AAT)|Library of Congress Subject Headings (LCSH),I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/12/2024 11:59:45,Arts cultural sector cultural heritage|Wikimedia (Wikidata Wikimedia Commons…),10,"English, Dutch",More than 5 years,4,10,3. Once per month,Once per month,Once per month,Once per month,Once per month,Rarely,Rarely,Rarely,Rarely,Once per month,Once per month,Rarely,"Reconciliation, data cleaning/normalisation, upload functionality to Commons and Wikidata. I'm afraid that without OR I would be left with spreadsheet software or I would need to learn writing code.",", The latest version of OpenRefine 3.8",Myself,Mac,Chrome,Default Setting,Getty Vocabularies (TGN ULAN AAT)|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons|termennetwerk (dutch cultural heritage network (NDE)),"Wikidata extension, Wikimedia Commons, VIB-Bits",I did not know that there are client libraries for OpenRefine,
8/12/2024 12:26:55,Libraries|Arts cultural sector cultural heritage,10,"English, Japanese",2 to 5 years,4,8,3. Once per month,Once per month,Once per week,Once per week,Rarely,Rarely,Rarely,Rarely,Never,Once per week,Never,Rarely,faceting on multiple fields; Google Sheets and Excel,,Myself,Windows,Chrome|Firefox,Default Setting,Faceted Application of Subject Terminology (FAST)|Getty Vocabularies (TGN ULAN AAT)|Library of Congress Subject Headings (LCSH)|ORCID|Social Networks and Archival Context (SNAC)|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link),"Wikidata extension, SNAC extension","I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries",
8/12/2024 16:16:21,Libraries|Museums,8,English,Less than 6 months,2,10,1. Once per day,Once per day,Rarely,Once per day,Once per day,Once per day,Never,Rarely,Once per day,Rarely,Never,Never,"The Faceting, Reconciling and Clustering tools",", The latest version of OpenRefine 3.8",Myself,Windows,Chrome|Edge,Default Setting,Bionomia ID|ORCID|Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I don’t use any OpenRefine client libraries,
8/12/2024 16:29:34,Libraries|Other non-profit sector,9,English,1 to 2 years,2,10,3. Once per month,Once per month,Once per day,Once per day,Once per month,Rarely,Never,Once per month,Rarely,Once per week,Never,Once per month,"Easy to use, powerful sort and filter. The ability to rapidly transform based on specific characteristics. I would be cursing Excel if OR did not exist.",OpenRefine 3.7,IT staff,Windows,Firefox,Default Setting,Getty Vocabularies (TGN ULAN AAT)|Wikidata (hosted at wikidata.reconci.link),SNAC extension,I don’t use any OpenRefine client libraries,
8/12/2024 18:55:32,Biodiversity data,10,Spanish,Less than 6 months,4,10,1. Once per day,Once per day,Once per day,Rarely,Rarely,Rarely,Rarely,Once per week,Once per week,Rarely,Never,Once per month,,,Myself,Windows,Chrome,I don’t know,GBIF,I don’t use any OpenRefine extensions,I did not know that there are client libraries for OpenRefine,
8/12/2024 22:45:00,Libraries|Research and Academic|OpenStreetMap|Education / training,8,English,1 to 2 years,4,10,1. Once per day,Once per day,Once per day,Once per day,Once per day,Once per week,Once per day,Once per week,Once per month,Once per month,Never,Rarely,"Features that made me choose OpenRefine: open-source, faceting, reconciliation, import/export, GREL. No other alternative tools.",,Myself,Linux,Chrome|Firefox,10000 M,Getty Vocabularies (TGN ULAN AAT)|Library of Congress Subject Headings (LCSH),"Wikidata extension, RDF Transform by AtesComp, SNAC extension , VIB-Bits, Named-Entity Recognition (NER) - by Ruben Verborgh and Stuart Kenny, RDF extension - by DRI and Stuart Kenny",I did not know that there are client libraries for OpenRefine,"No"
8/13/2024 4:08:10,Libraries|Research and Academic|Arts cultural sector cultural heritage|Digital humanities|Data science|Semantic Web|Wikimedia (Wikidata Wikimedia Commons…)|Wikibase,7,English,2 to 5 years,4,10,2. Once per week,Once per week,Once per month,Once per week,Once per week,Once per month,Rarely,Once per month,Once per month,Once per week,Once per month,Rarely,,,Myself,Windows,Chrome,16000 M,reconcile-csv (Clojure-based by Open Knowledge Labs)|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, VIB-Bits",I did not know that there are client libraries for OpenRefine,
8/13/2024 5:05:29,Data science,7,English,1 to 2 years,5,10,1. Once per day,Once per day,Once per week,Once per day,Once per month,Rarely,Rarely,Never,Once per month,Once per week,Never,Rarely,"Most of the features are very useful. Alternatives: Excel, LibreOffice (for regex), self made scripts (php, js).",,Myself,Windows,Firefox,8192 M,My organization’s / project’s own / in-house / custom reconciliation service,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/13/2024 7:41:35,Wikimedia (Wikidata Wikimedia Commons…),10,"English, Italian",1 to 2 years,3,9,3. Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Rarely,Rarely,Once per month,Rarely,Once per month,Never,"I used pattypan to upload to commons, and other tools to modify wikidata and commons",OpenRefine 3.7,Myself,Linux,Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,Wikimedia Commons,"I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries",
8/13/2024 14:51:21,Libraries|Research and Academic|Wikimedia (Wikidata Wikimedia Commons…),10,English,More than 5 years,4,10,2. Once per week,Once per week,Once per week,Once per week,Rarely,Rarely,Rarely,Once per week,Rarely,Rarely,Once per month,Rarely,,,Myself,Mac,Chrome|Firefox|DuckDuckGo,Default Setting,Library of Congress Subject Headings (LCSH)|Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I don’t use any OpenRefine client libraries,
8/13/2024 14:58:16,Data journalism,10,English,More than 5 years,3,10,3. Once per month,Once per month,Once per month,Once per month,Once per month,Rarely,Rarely,Once per month,Once per month,Once per month,Never,Never,"I primarily use OpenRefine for facets and cleaning. Without OpenRefine, I would likely use Excel or SQL.",,Myself,Mac,Chrome,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,GeoJSON Export - by Labian Gashi,I don’t use any OpenRefine client libraries,
8/13/2024 15:25:14,Research and Academic|Data science,7,"English, Spanish",2 to 5 years,3,8,2. Once per week,Once per week,Once per week,Once per week,Once per week,Once per week,Rarely,Rarely,Once per month,Once per week,Rarely,Rarely,"Facilidad de uso, lenguaje GREL, historial","OpenRefine 3.7, OpenRefine 3.6, OpenRefine 3.5",Myself,Windows,Chrome|Firefox,Default Setting,I do not use any reconciliation service(s) inside OpenRefine|I don’t know,I don’t use any OpenRefine extensions,R OpenRefine client,
8/13/2024 16:28:19,Wikimedia (Wikidata Wikimedia Commons…),0,"English, Polish",1 to 2 years,3,7,1. Once per day,Once per day,Once per day,Once per day,Once per day,Never,Never,Once per week,Never,Once per month,Once per week,Never,,,Myself,Windows,Firefox,I don’t know,Wikidata (hosted at wikidata.reconci.link),I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/13/2024 16:51:05,Data journalism|Wikimedia (Wikidata Wikimedia Commons…)|Wikibase|Education / training,3,"English, French",Less than 6 months,3,5,3. Once per month,Once per month,Once per month,Once per month,Once per month,Once per week,Rarely,Once per day,Rarely,Once per month,Once per month,Once per month,Facility and rapidity,The latest version of OpenRefine 3.8,I maintain a hosted version of OpenRefine,Windows,Chrome,I don’t know,reconciliation against a SPARQL endpoint via the RDF extension|Wikidata (hosted at wikidata.reconci.link),"Diff plugin - by VIB-Bits, extraCTU-plugin by giTorto","Java OpenRefine client, C# / .NET OpenRefine client",
8/14/2024 0:05:50,Libraries|Arts cultural sector cultural heritage|Wikimedia (Wikidata Wikimedia Commons…)|Education / training,3,English,2 to 5 years,2,7,4. Rarely,Rarely,Rarely,Rarely,Rarely,Once per month,Never,Never,Never,Never,Rarely,Never,Upload bulk files to commons,OpenRefine 3.4,Myself,Windows,Chrome,I don’t know,csv-reconcile (Python-based by Douglas Mennella)|Wikidata (hosted at wikidata.reconci.link),I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/14/2024 2:54:37,Data science,10,Spanish,2 to 5 years,3,10,1. Once per day,Once per day,Once per week,Once per month,Rarely,Rarely,Never,Never,Once per day,Once per day,Never,Never,"Es una herramienta muy versátil, potente y amigable. Si no estuviera disponible tendría un grave problema :-)",,Myself,Windows,Chrome,16000 M,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/14/2024 3:45:09,Libraries|Research and Academic|Digital humanities|Wikibase,10,"English, German, Item labels in many languages",2 to 5 years,4,10,2. Once per week,Once per week,Once per week,Once per week,Once per month,Once per month,Once per month,Rarely,Never,Rarely,Once per month,Never,"Direct upload to Wikibase, fetching urls, transformation with Grel. Alternatives would be Excel and Python",,Myself,Windows,Firefox,Default Setting,My organization’s / project’s own / in-house / custom reconciliation service|Getty Vocabularies (TGN ULAN AAT)|lobid Integrated Authority File (GND)|Wikidata (hosted at wikidata.reconci.link),I don’t use any OpenRefine extensions,I did not know that there are client libraries for OpenRefine,
8/14/2024 4:47:09,Libraries|Arts cultural sector cultural heritage,9,English,More than 5 years,4,10,3. Once per month,Once per month,Once per month,Once per month,Rarely,Rarely,Rarely,Once per month,Once per month,Once per month,Never,Never,"It's so effective at cleaning large datasets, that i have never found a good alternative tool",,Myself,Linux,Chrome|Firefox|Vivaldi,14000 M,csv-reconcile (Python-based by Douglas Mennella)|reconcile-csv (Clojure-based by Open Knowledge Labs),I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
